species,concentration,type
y_1,133.896512057172,actual
y_1,50.0091053091185,actual
y_1,46.3713954586252,actual
y_1,117.747679979387,actual
y_1,58.4997707876614,actual
y_1,42.3361938597348,actual
y_1,103.527096154855,actual
y_1,72.6764503784366,actual
y_1,36.9145301173883,actual
y_1,101.303596953562,actual
y_1,83.9620795572733,actual
y_1,40.2561771394433,actual
y_1,79.6401026264033,actual
y_1,76.5194726457452,actual
y_1,45.8395995813439,actual
y_1,66.1022007906312,actual
y_1,41.3281311182882,actual
y_1,135.481971516722,actual
y_1,42.1335289865466,actual
y_1,101.449409100106,actual
y_1,80.2258159906567,actual
y_1,80.1751555459657,actual
y_1,54.2854281487784,actual
y_1,52.0252968860656,actual
y_1,151.713323731123,actual
y_1,64.8176545260593,actual
y_1,27.687591529542,actual
y_1,123.850304494218,actual
y_1,49.0600677743167,actual
y_1,52.888240675188,actual
y_1,53.7555175505486,actual
y_1,111.916591788859,actual
y_1,43.799030203001,actual
y_1,45.2030576227717,actual
y_1,97.1270306108619,actual
y_1,77.0352241932284,actual
y_1,79.9468867780517,actual
y_1,42.5256151988098,actual
y_1,107.13138767657,actual
y_1,80.7026325073362,actual
y_1,49.6867251281505,actual
y_1,65.5879182139719,actual
y_1,107.196116645195,actual
y_1,27.1282690203138,actual
y_1,102.116455644673,actual
y_1,67.0340136307465,actual
y_1,30.5963524883371,actual
y_1,138.002834042354,actual
y_1,30.8978697187422,actual
y_1,125.461216194096,actual
y_1,63.3369970656615,actual
y_1,124.32191285976,actual
y_1,56.2153492912079,actual
y_1,32.8337431325692,actual
y_1,54.846106047358,actual
y_1,97.4706163942461,actual
y_1,49.001437089811,actual
y_1,45.4960493702812,actual
y_1,65.2632051741041,actual
y_1,64.57456876145,actual
y_1,53.9718467722261,actual
y_1,130.973119660365,actual
y_1,39.1663371849618,actual
y_1,113.498153949525,actual
y_1,50.5710017279633,actual
y_1,66.739465815729,actual
y_1,65.4654315918003,actual
y_1,77.9368446909019,actual
y_1,47.0662238959108,actual
y_1,27.4948554486047,actual
y_1,94.8703179863938,actual
y_1,72.8952298559098,actual
y_1,65.6861626151208,actual
y_1,51.6670335920261,actual
y_1,61.0790776927207,actual
y_1,38.3969844070009,actual
y_1,135.044935913575,actual
y_1,56.9969810027161,actual
y_1,36.8448860862022,actual
y_1,99.7302964706846,actual
y_1,73.8820918114405,actual
y_1,43.392041351402,actual
y_1,106.418097288783,actual
y_1,55.5279916338964,actual
y_1,153.248561569661,actual
y_1,51.7357436915539,actual
y_1,37.8200742812079,actual
y_1,173.17646487859,actual
y_1,51.8247351386028,actual
y_1,22.1215546959446,actual
y_1,42.350084667253,actual
y_1,88.3944229599451,actual
y_1,46.8295400278122,actual
y_1,110.147171559918,actual
y_1,59.2881945698082,actual
y_1,40.1091363150651,actual
y_1,124.48656692089,actual
y_1,62.785029478514,actual
y_1,34.5916423319641,actual
y_1,35.2587277767523,actual
y_1,90.8491867064966,actual
y_1,82.7187517073389,actual
y_1,48.4939734345394,actual
y_1,71.123543516701,actual
y_1,89.8584739248517,actual
y_1,92.4639158992072,actual
y_1,123.501355524276,actual
y_1,26.1271834922672,actual
y_1,109.78740617459,actual
y_1,53.2040046739942,actual
y_1,50.445702843528,actual
y_1,117.154347604131,actual
y_1,35.9841230895992,actual
y_1,57.0977502395213,actual
y_1,15.5408370628683,actual
y_1,150.376043776503,actual
y_1,78.059470031638,actual
y_1,82.1190598270676,actual
y_1,106.046478897892,actual
y_1,37.8702225085959,actual
y_1,106.152696347083,actual
y_1,59.4597760744372,actual
y_1,40.1340833650006,actual
y_1,90.5353008025296,actual
y_1,30.9415961853224,actual
y_1,92.9497828050661,actual
y_1,55.7532951259034,actual
y_1,69.707954252358,actual
y_1,100.335928844309,actual
y_1,146.322756844044,actual
y_1,54.6981558442279,actual
y_1,31.5543644395471,actual
y_1,40.4468594573595,actual
y_1,47.4943652583218,actual
y_1,139.854960302532,actual
y_1,36.6378955433084,actual
y_1,144.267156359642,actual
y_1,59.7591743798497,actual
y_1,167.598677835981,actual
y_1,64.4773957040734,actual
y_1,21.5676735253951,actual
y_1,80.7871440181961,actual
y_1,29.1158581901851,actual
y_1,134.305065631969,actual
y_1,95.6183755655,actual
y_1,35.6439652790181,actual
y_1,113.927504640886,actual
y_1,119.311481987908,actual
y_1,49.0476949671319,actual
y_1,35.5650577902642,actual
y_1,114.51519829603,actual
y_1,56.687028726095,actual
y_1,63.3706136609686,actual
y_1,108.329010509785,actual
y_1,54.2757324541625,actual
y_1,39.7867098175716,actual
y_1,53.7771503033352,actual
y_1,102.769560861501,actual
y_1,46.5281650826481,actual
y_1,60.4393630751186,actual
y_1,70.5863685802975,actual
y_1,79.0398670167334,actual
y_1,90.5704629056062,actual
y_1,44.5864146796546,actual
y_1,91.9259380535227,actual
y_1,41.9443579604892,actual
y_1,91.4890686605298,actual
y_1,50.1883467641316,actual
y_1,47.0131652502549,actual
y_1,118.792213590112,actual
y_1,72.1209892526453,actual
y_1,35.773383133971,actual
y_1,158.782715298861,actual
y_1,47.1913961465968,actual
