species,concentration,type
y_1,10.1310907556997,mapped
y_1,7.80505680566915,mapped
y_1,3.43583579742878,mapped
y_1,3.63929812220334,mapped
y_1,9.37383963443147,mapped
y_1,10.5793813163152,mapped
y_1,5.65339936537993,mapped
y_1,6.78711451604547,mapped
y_1,4.96926092481733,mapped
y_1,9.03881337713396,mapped
y_1,1.96813366855821,mapped
y_1,16.6368644325829,mapped
y_1,7.19060723189967,mapped
y_1,5.10523702551571,mapped
y_1,6.82890713234172,mapped
y_1,8.07765733919718,mapped
y_1,8.28268398514835,mapped
y_1,4.03455920737576,mapped
y_1,5.20511323747189,mapped
y_1,13.0130307171931,mapped
y_1,5.03713406747565,mapped
y_1,13.0512974417983,mapped
y_1,5.7989376511324,mapped
y_1,5.45804600087446,mapped
y_1,9.46923726890165,mapped
y_1,3.92721163718526,mapped
y_1,6.55721151071209,mapped
y_1,6.01639469105829,mapped
y_1,7.01555406104963,mapped
y_1,6.76787517171745,mapped
y_1,10.6475016932604,mapped
y_1,2.99575523650335,mapped
y_1,8.25587658574719,mapped
y_1,7.46427008531425,mapped
y_1,4.34163923570822,mapped
y_1,8.39115262797124,mapped
y_1,3.18430233855085,mapped
y_1,6.33758751822386,mapped
y_1,11.9402244011518,mapped
y_1,9.65926681762563,mapped
y_1,4.80096078129333,mapped
y_1,4.94675217234161,mapped
y_1,8.53051217128117,mapped
y_1,2.34429022337645,mapped
y_1,13.0223179349557,mapped
y_1,7.66579142785697,mapped
y_1,12.9826584678962,mapped
y_1,3.20489824238982,mapped
y_1,9.49390824438477,mapped
y_1,4.34958779226692,mapped
y_1,8.6259293058874,mapped
y_1,5.39807129644896,mapped
y_1,4.59702805493793,mapped
y_1,10.2358081712326,mapped
y_1,4.14673611581642,mapped
y_1,7.80741144603486,mapped
y_1,9.20336749059979,mapped
y_1,8.48865600479673,mapped
y_1,2.93195678999954,mapped
y_1,12.9452090009346,mapped
y_1,5.24645689091572,mapped
y_1,7.98492203951013,mapped
y_1,6.10825554900251,mapped
y_1,13.2925347299236,mapped
y_1,5.18714916225355,mapped
y_1,4.52411570683976,mapped
y_1,8.99042524140339,mapped
y_1,4.75460881609363,mapped
y_1,7.71517130417387,mapped
y_1,5.54366667162,mapped
y_1,12.454946561123,mapped
y_1,4.70189190755247,mapped
y_1,5.4453108429175,mapped
y_1,6.76804762363796,mapped
y_1,6.03960728105842,mapped
y_1,5.31893324159404,mapped
y_1,7.69958992256204,mapped
y_1,11.3371530886759,mapped
y_1,4.0253496993212,mapped
y_1,10.0024044484973,mapped
y_1,4.70173202046748,mapped
y_1,17.9196219556266,mapped
y_1,4.87534904612709,mapped
y_1,3.43555972387416,mapped
y_1,4.59824867966265,mapped
y_1,8.62220262111475,mapped
y_1,10.0843558257613,mapped
y_1,10.5687080629942,mapped
y_1,5.21034313794312,mapped
y_1,5.50576113657669,mapped
y_1,10.5540421491127,mapped
y_1,4.66146285555508,mapped
y_1,6.79111298047231,mapped
y_1,12.3032608316484,mapped
y_1,8.31139465107678,mapped
y_1,2.88293570657187,mapped
y_1,4.11208543993664,mapped
y_1,9.8689122346139,mapped
y_1,6.54654128904692,mapped
y_1,4.76410717486983,mapped
y_1,8.52123214842049,mapped
y_1,6.51596239287014,mapped
y_1,3.39663997563421,mapped
y_1,9.8743443337242,mapped
y_1,6.64290660346938,mapped
y_1,3.1844019721178,mapped
y_1,11.0750636116003,mapped
y_1,10.7467929212688,mapped
y_1,13.1156481465695,mapped
y_1,2.4620899678862,mapped
y_1,9.62454377103472,mapped
y_1,4.31819425740934,mapped
y_1,18.27469321484,mapped
y_1,6.05134508310047,mapped
y_1,4.53283209859915,mapped
y_1,7.18821776177559,mapped
y_1,8.87864439083355,mapped
y_1,4.00448896959022,mapped
y_1,15.2685447615448,mapped
y_1,5.87483394447874,mapped
y_1,3.72525792458476,mapped
y_1,12.1058093216532,mapped
y_1,6.04248606500289,mapped
y_1,6.94655661708012,mapped
y_1,4.10137193970362,mapped
y_1,8.96663242671677,mapped
y_1,4.65253005043962,mapped
y_1,14.5322363409345,mapped
y_1,5.57900141981992,mapped
y_1,15.5511658881112,mapped
y_1,5.01617882155651,mapped
y_1,4.77756779347617,mapped
y_1,12.3546145103232,mapped
y_1,5.26526322821137,mapped
y_1,4.71999199321433,mapped
y_1,4.27929506870011,mapped
y_1,6.1024275537218,mapped
y_1,9.79744728628384,mapped
y_1,7.69597843457028,mapped
y_1,8.57550215310804,mapped
y_1,4.5158394490621,mapped
y_1,3.62276948121873,mapped
y_1,10.9258848431714,mapped
y_1,6.52883104871056,mapped
y_1,4.7287864143149,mapped
y_1,17.6826318373469,mapped
y_1,4.26058111845474,mapped
y_1,12.6176685699532,mapped
y_1,3.3351495925551,mapped
y_1,6.82446516337729,mapped
y_1,14.1050059946855,mapped
y_1,6.92536623796954,mapped
y_1,3.25748339674435,mapped
y_1,6.17045731959278,mapped
y_1,12.586484852717,mapped
y_1,3.82971944701545,mapped
y_1,6.78908345930072,mapped
y_1,7.82448104347693,mapped
y_1,5.26328641309909,mapped
y_1,4.95476883871908,mapped
y_1,7.6726327705716,mapped
y_1,7.73145279024315,mapped
y_1,4.99475401998274,mapped
y_1,10.1308972130563,mapped
y_1,4.67783612163273,mapped
y_1,4.10691612332933,mapped
y_1,14.8116729634992,mapped
y_1,5.0146668905226,mapped
y_1,8.1565337159025,mapped
y_1,2.39357120483268,mapped
y_1,12.4503023884328,mapped
y_1,9.31420535514942,mapped
y_1,6.88163156796375,mapped
y_1,3.99714548871128,mapped
y_1,4.33948384703247,mapped
y_1,3.84405278945634,mapped
y_1,16.3468960044074,mapped
y_1,7.55896793920718,mapped
y_1,7.15385108519298,mapped
y_1,4.53360872184982,mapped
y_1,6.96454938182447,mapped
y_1,5.93676548269119,mapped
y_1,6.87896100343895,mapped
y_1,9.00288972690274,mapped
y_1,2.68862062549885,mapped
y_1,10.5999597972832,mapped
y_1,6.7182124289275,mapped
y_1,7.00534238464251,mapped
y_1,4.88906682213257,mapped
y_1,3.55738088144489,mapped
y_1,9.36877135133838,mapped
y_1,7.24809832876457,mapped
y_1,8.84097020444737,mapped
y_1,4.36641323999317,mapped
y_1,6.13900396361858,mapped
y_1,7.72091156845961,mapped
y_1,9.99826405850767,mapped
y_1,3.35654339060511,mapped
y_1,3.96013115506025,mapped
y_1,8.27952079590298,mapped
y_1,10.2039234875227,mapped
y_1,16.9565796389573,mapped
y_1,7.20550064900053,mapped
y_1,3.36486850661603,mapped
y_1,4.12021537672405,mapped
y_1,11.096667167289,mapped
y_1,5.82056717421914,mapped
y_1,6.3118667438584,mapped
y_1,4.16925610123927,mapped
y_1,9.14313371753553,mapped
y_1,5.53659161693506,mapped
y_1,3.64860456630016,mapped
y_1,10.3456244582364,mapped
y_1,9.34459772891894,mapped
y_1,6.29670815244807,mapped
y_1,4.25896230647572,mapped
y_1,6.99942808638501,mapped
y_1,4.80711256059026,mapped
y_1,5.87050800190217,mapped
y_1,17.8202755081321,mapped
y_1,6.25788959305212,mapped
y_1,2.87386984704253,mapped
y_1,16.1548696984663,mapped
y_1,5.25088036053553,mapped
y_1,4.81849944368142,mapped
y_1,8.45473935619435,mapped
y_1,4.33214360808092,mapped
y_1,11.7001819883709,mapped
y_1,13.4575251273946,mapped
y_1,4.76473638909096,mapped
y_1,5.83368292874091,mapped
y_1,3.6448503188506,mapped
y_1,10.344543489813,mapped
y_1,8.16139398652496,mapped
y_1,5.06322029037269,mapped
y_1,12.5343009827937,mapped
y_1,6.04470763746262,mapped
y_1,6.80498861065696,mapped
y_1,10.6935806976838,mapped
y_1,5.97971695881271,mapped
y_1,3.49084950353818,mapped
y_1,16.2814354613335,mapped
y_1,5.84117922933429,mapped
y_1,4.34039972926798,mapped
y_1,6.84268657012982,mapped
y_1,5.68312160405112,mapped
y_1,8.5637746410864,mapped
y_1,3.00770161059146,mapped
y_1,10.7663779784724,mapped
y_1,17.2815039184751,mapped
y_1,4.4342941778372,mapped
y_1,4.34248590373912,mapped
y_1,7.8694197916623,mapped
y_1,4.37292344575443,mapped
y_1,6.86304227359718,mapped
y_1,10.4525632625509,mapped
y_1,4.34570155829482,mapped
y_1,4.63442700300026,mapped
y_1,11.4519706456244,mapped
y_1,4.12558470291752,mapped
y_1,6.31374603753126,mapped
y_1,15.2725300618143,mapped
y_1,3.63899099582027,mapped
y_1,6.31950561949078,mapped
y_1,5.99299831902493,mapped
y_1,3.6899883259921,mapped
y_1,13.8207863309474,mapped
y_1,6.45124551050813,mapped
y_1,9.57843593897099,mapped
y_1,4.38277116798037,mapped
y_1,12.0389191175309,mapped
y_1,4.82548088250757,mapped
y_1,4.4241278604092,mapped
y_1,8.95800772708082,mapped
y_1,3.49323991884521,mapped
y_1,8.43556144713358,mapped
y_1,14.459076957005,mapped
y_1,4.30708804760898,mapped
y_1,6.31455581122834,mapped
y_1,16.2424714186962,mapped
y_1,5.62814172734513,mapped
y_1,3.05983412427536,mapped
y_1,4.05413617009072,mapped
y_1,5.79423014129978,mapped
y_1,11.8797302291686,mapped
y_1,2.76510671242944,mapped
y_1,11.886266405168,mapped
y_1,7.68560948721739,mapped
y_1,6.50739508571061,mapped
y_1,12.8676261549294,mapped
y_1,4.6873720798623,mapped
y_1,14.414323181651,mapped
y_1,4.90923759274237,mapped
y_1,4.03157953572628,mapped
y_1,3.69625992960364,mapped
y_1,8.06320952484623,mapped
y_1,14.06746977752,mapped
y_1,3.56205321568049,mapped
y_1,10.4683218986429,mapped
y_1,11.4475409302989,mapped
y_1,11.4303145644359,mapped
y_1,4.85664770201318,mapped
y_1,4.30593231742368,mapped
y_1,5.98488461877404,mapped
y_1,5.36196986593609,mapped
y_1,10.045624637489,mapped
y_1,4.69801647118356,mapped
y_1,7.92336371745689,mapped
y_1,7.55096587815114,mapped
y_1,12.9599385574416,mapped
y_1,7.34946486774635,mapped
y_1,3.38622357131424,mapped
y_1,4.02905057914252,mapped
y_1,13.5045805913714,mapped
y_1,4.6742907416525,mapped
y_1,12.6239544301792,mapped
y_1,6.76373545772509,mapped
y_1,3.95034825187491,mapped
y_1,4.09772549736189,mapped
y_1,12.8630515606926,mapped
y_1,4.447022591724,mapped
y_1,5.45168309964586,mapped
y_1,4.73140426131078,mapped
y_1,12.7300379177484,mapped
y_1,4.27680674490214,mapped
y_1,5.91860824338965,mapped
y_1,13.3296582178057,mapped
y_1,10.3225615512066,mapped
y_1,5.68842872840026,mapped
y_1,3.8823072272991,mapped
y_1,3.70078801325129,mapped
y_1,7.98866054310059,mapped
y_1,10.2439383671684,mapped
y_1,2.6462914662311,mapped
y_1,10.2824253133534,mapped
y_1,9.29346935503951,mapped
y_1,14.0498936945209,mapped
y_1,3.62029731140466,mapped
y_1,8.32237760096123,mapped
y_1,8.29079037622494,mapped
y_1,4.23050640168412,mapped
y_1,7.650309923659,mapped
y_1,4.10053396994854,mapped
y_1,11.2699730372969,mapped
y_1,5.71054445786703,mapped
y_1,6.55428686476551,mapped
y_1,9.96376691656887,mapped
y_1,3.98567189790102,mapped
y_1,13.4015089413567,mapped
y_1,4.68130634969239,mapped
y_1,5.67824400134205,mapped
y_1,5.11626739451208,mapped
y_1,12.404879621978,mapped
y_1,5.22763091324817,mapped
y_1,4.02438489394186,mapped
y_1,6.06554613379725,mapped
y_1,11.9984381681133,mapped
y_1,11.7849876562912,mapped
y_1,4.06253366712586,mapped
y_1,9.08122406981181,mapped
y_1,4.11531169099054,mapped
y_1,7.75802432590945,mapped
y_1,9.77296512416592,mapped
y_1,4.95350325269875,mapped
y_1,6.90026610084254,mapped
y_1,9.19155582078261,mapped
y_1,4.74673924406224,mapped
y_1,5.38057454887272,mapped
y_1,9.52699951489624,mapped
y_1,9.28489208649839,mapped
y_1,7.07625769970164,mapped
y_1,4.50676365616259,mapped
y_1,6.07702358543463,mapped
y_1,5.01781111010739,mapped
y_1,10.5166225487772,mapped
y_1,7.33399875928717,mapped
y_1,5.25923081719838,mapped
y_1,6.53742658214317,mapped
y_1,3.60101662772968,mapped
y_1,5.89649615500124,mapped
y_1,13.3191109038932,mapped
y_1,7.9539153369726,mapped
y_1,4.61535346062427,mapped
y_1,6.47035149170211,mapped
y_1,8.1560983547053,mapped
y_1,4.85746132535571,mapped
y_1,6.83152656971764,mapped
y_1,7.1401795207715,mapped
y_1,3.58971643964236,mapped
y_1,10.7333011074054,mapped
y_1,4.09677131745744,mapped
y_1,6.50156285505116,mapped
y_1,7.80075552008959,mapped
y_1,10.4634859530433,mapped
y_1,7.6456823186329,mapped
y_1,3.06353715093618,mapped
y_1,9.88043980084286,mapped
y_1,4.76711268704566,mapped
y_1,6.31515429788618,mapped
y_1,5.01445677204656,mapped
y_1,3.89371018451848,mapped
y_1,16.1311889459537,mapped
y_1,6.04318672405917,mapped
y_1,7.25097775733435,mapped
y_1,6.77873083086441,mapped
y_1,9.87943052219213,mapped
y_1,6.49745294567747,mapped
y_1,4.18690458515163,mapped
y_1,11.7628859531872,mapped
y_1,3.07523128274624,mapped
y_1,7.43147294999928,mapped
y_1,6.65959715688617,mapped
y_1,3.38708569561259,mapped
y_1,8.74934969882185,mapped
y_1,2.9555144189657,mapped
y_1,10.5404875862052,mapped
y_1,12.5141137508453,mapped
y_1,6.60795330394381,mapped
y_1,2.58648313121278,mapped
y_1,12.3125004210434,mapped
y_1,2.95513177218427,mapped
y_1,13.5325761218886,mapped
y_1,9.045771495421,mapped
y_1,10.7113506932654,mapped
y_1,6.46593877261184,mapped
y_1,4.62754033809017,mapped
y_1,13.7906534931521,mapped
y_1,6.33543273267994,mapped
y_1,3.34382339450016,mapped
y_1,7.59354330987974,mapped
y_1,4.27995646169892,mapped
y_1,11.726177481493,mapped
y_1,11.1824199992013,mapped
y_1,5.31997214910036,mapped
y_1,5.29359004936426,mapped
y_1,12.0960063041279,mapped
y_1,5.92798888072082,mapped
y_1,3.25801058220281,mapped
y_1,7.41613302742622,mapped
y_1,5.50640230352829,mapped
y_1,7.67953892329571,mapped
y_1,11.1392713641395,mapped
y_1,4.69205627060391,mapped
y_1,4.55721001478334,mapped
y_1,3.3524955341623,mapped
y_1,10.259654571488,mapped
y_1,9.48627530209962,mapped
y_1,3.80012765174053,mapped
y_1,7.82466343736146,mapped
y_1,13.2601140827794,mapped
y_1,6.98947229617129,mapped
y_1,3.45869368889942,mapped
y_1,6.81645544872494,mapped
y_1,9.17369270028073,mapped
y_1,2.2155591574434,mapped
y_1,14.8189675060859,mapped
y_1,5.21920105969209,mapped
y_1,6.34434496647013,mapped
y_1,8.30789391363789,mapped
y_1,7.56317569593186,mapped
y_1,13.6292653620553,mapped
y_1,2.97371400233371,mapped
y_1,10.6647056854705,mapped
y_1,12.4930151078222,mapped
y_1,2.75532373833969,mapped
y_1,5.51427579275659,mapped
y_1,4.42153125665402,mapped
y_1,13.2344309431508,mapped
y_1,6.29498552628788,mapped
y_1,7.97753555654706,mapped
y_1,5.29355738572156,mapped
y_1,10.380724919961,mapped
y_1,3.22373536091851,mapped
y_1,5.53994192715201,mapped
y_1,7.38869167139154,mapped
y_1,10.0870060595834,mapped
y_1,4.77012875279813,mapped
y_1,3.83092506235026,mapped
y_1,8.26222827782651,mapped
y_1,7.97582598799059,mapped
y_1,4.20254461029452,mapped
y_1,9.00110656797898,mapped
y_1,6.27106215815112,mapped
y_1,12.3648934574701,mapped
y_1,5.35500709772487,mapped
y_1,2.88246730004836,mapped
y_1,9.78821876334156,mapped
y_1,3.38337094412441,mapped
y_1,9.41234320716007,mapped
y_1,10.8022001626633,mapped
y_1,2.77086399284676,mapped
y_1,10.7724551350351,mapped
y_1,14.6107302312551,mapped
y_1,5.38693312125526,mapped
y_1,3.06988924885263,mapped
y_1,12.4706310979403,mapped
y_1,6.82370682673407,mapped
y_1,4.50060678837173,mapped
y_1,2.99497330806234,mapped
y_1,10.8854715918842,mapped
y_1,6.6039834540224,mapped
y_1,3.55012080323349,mapped
y_1,11.4929145695641,mapped
y_1,6.95206097520649,mapped
y_1,11.8375034628551,mapped
y_1,9.02003725772276,mapped
y_1,3.16697882741909,mapped
y_1,19.5585788601989,mapped
y_1,4.99522384929449,mapped
y_1,4.12481856318351,mapped
y_1,12.0375850590472,mapped
y_1,7.24450739357014,mapped
y_1,3.48435550320502,mapped
y_1,6.86875645545538,mapped
y_1,9.68072051792831,mapped
y_1,3.56948143736398,mapped
y_1,8.09835999314017,mapped
y_1,8.2759014205408,mapped
y_1,5.20436259527561,mapped
y_1,4.66313209077069,mapped
y_1,6.13064569110013,mapped
y_1,10.3165127053449,mapped
y_1,3.69181792216825,mapped
y_1,7.78922503962374,mapped
y_1,7.39819820291543,mapped
y_1,10.0042447746913,mapped
y_1,6.888852652703,mapped
y_1,4.23228220695889,mapped
y_1,11.3070275716736,mapped
y_1,3.8330282830355,mapped
y_1,6.83148869791466,mapped
y_1,12.7974758075506,mapped
y_1,4.47429597497182,mapped
y_1,5.52576154574849,mapped
y_1,13.5780700355978,mapped
y_1,4.50220786820907,mapped
y_1,5.75355819985145,mapped
y_1,4.23513800037225,mapped
y_1,14.1430113259412,mapped
y_1,5.89035923614646,mapped
y_1,5.82405984586939,mapped
y_1,10.9083705267797,mapped
y_1,5.55684391029339,mapped
y_1,5.41010638309728,mapped
y_1,4.98270841884212,mapped
y_1,6.64770468517176,mapped
y_1,4.16567049412473,mapped
y_1,5.5201116677977,mapped
y_1,10.6343288310355,mapped
y_1,5.57606712428437,mapped
y_1,10.8482172293804,mapped
y_1,5.28780993436214,mapped
y_1,13.8615261683397,mapped
y_1,5.3902691382993,mapped
y_1,3.41651352065186,mapped
y_1,5.82237796106444,mapped
y_1,6.06171838829881,mapped
y_1,13.6296546117376,mapped
y_1,14.9215864798106,mapped
y_1,4.09515823429613,mapped
y_1,6.08328261233434,mapped
y_1,18.7416041887382,mapped
y_1,4.85128649315132,mapped
y_1,4.32756198424507,mapped
y_1,7.15737273423421,mapped
y_1,6.40893012171081,mapped
y_1,6.48136183810448,mapped
y_1,2.61909000527353,mapped
y_1,18.5092579771208,mapped
y_1,8.08649051311262,mapped
y_1,2.19359264577371,mapped
y_1,16.1979301751844,mapped
y_1,6.81651736912651,mapped
y_1,6.9229545829844,mapped
y_1,3.95213861668331,mapped
y_1,15.5682284660781,mapped
y_1,17.0909096734805,mapped
y_1,5.95420560857539,mapped
y_1,2.46992367711334,mapped
y_1,4.77745744827589,mapped
y_1,4.1676223547305,mapped
y_1,11.8460377533508,mapped
y_1,8.3664901972105,mapped
y_1,8.18804902190039,mapped
y_1,3.25966897092317,mapped
y_1,5.86230553300131,mapped
y_1,3.56259262724142,mapped
y_1,15.0311173009954,mapped
y_1,13.6990204794862,mapped
y_1,4.63805616468671,mapped
y_1,3.48004220239409,mapped
y_1,6.04535513566498,mapped
y_1,4.69034901501865,mapped
y_1,7.22221071665168,mapped
y_1,5.68851917291935,mapped
y_1,7.71110838913695,mapped
y_1,5.33623309308742,mapped
y_1,10.2874605388628,mapped
y_1,5.37874474536111,mapped
y_1,5.59000887759412,mapped
y_1,6.97919048916055,mapped
y_1,5.69998423263266,mapped
y_1,11.3784118759497,mapped
y_1,8.32667606016298,mapped
y_1,3.36561423265327,mapped
y_1,10.9163046675686,mapped
y_1,1.73537596710246,mapped
y_1,13.3017249110874,mapped
y_1,8.29362534766168,mapped
y_1,9.55939414959484,mapped
y_1,11.7082217359972,mapped
y_1,3.46367276582432,mapped
y_1,5.65084050902591,mapped
y_1,4.73588827190347,mapped
y_1,10.0665430602196,mapped
y_1,5.15341844186415,mapped
y_1,4.45248993847287,mapped
y_1,12.7385215533116,mapped
y_1,6.99988185778355,mapped
y_1,3.45875554872019,mapped
y_1,9.98752699822356,mapped
y_1,6.10882196987814,mapped
y_1,12.4713890512666,mapped
y_1,3.63501254695395,mapped
y_1,6.84593870065353,mapped
y_1,8.58721403431296,mapped
y_1,3.18161350931004,mapped
y_1,6.87741749614611,mapped
y_1,6.16596601065001,mapped
y_1,4.31435955620089,mapped
y_1,3.50549151102753,mapped
y_1,11.1650116974517,mapped
y_1,8.12796871377396,mapped
y_1,6.54163638113145,mapped
