species,concentration,type
y_1,24.5393745526063,observed
y_1,38.3751892244357,observed
y_1,57.3693076299157,observed
y_1,29.3257773903521,observed
y_1,47.5887070390402,observed
y_1,26.0136853858896,observed
y_1,13.7643670360923,observed
y_1,77.0069665349077,observed
y_1,43.728678797143,observed
y_1,76.9829892015624,observed
y_1,24.1240762436915,observed
y_1,16.2797370322931,observed
y_1,19.4708086815804,observed
y_1,52.8780697521038,observed
y_1,53.609299332524,observed
y_1,25.6271412582742,observed
y_1,29.4879717688083,observed
y_1,54.9493375787046,observed
y_1,38.4666307400151,observed
y_1,37.3823702942466,observed
y_1,25.9307166235643,observed
y_1,10.4769586512314,observed
y_1,67.0530097708783,observed
y_1,23.776476206663,observed
y_1,34.898787888303,observed
y_1,21.1867436075179,observed
y_1,41.8255517095355,observed
y_1,36.6628062540118,observed
y_1,36.1123444542361,observed
y_1,24.9686960091545,observed
y_1,34.1401413198299,observed
y_1,42.7137713610125,observed
y_1,21.6086240784287,observed
y_1,24.2382671634528,observed
y_1,38.7123927080042,observed
y_1,38.9852203983946,observed
y_1,34.487580357875,observed
y_1,17.679443372953,observed
y_1,44.3464295626098,observed
y_1,51.155896953606,observed
y_1,18.9062201761996,observed
y_1,50.1560480502766,observed
y_1,30.0178243497206,observed
y_1,16.594280452823,observed
y_1,60.1099301993537,observed
y_1,31.5798866386259,observed
y_1,15.3451196265091,observed
y_1,61.0710555036894,observed
y_1,27.1760362557323,observed
y_1,42.5394735319745,observed
y_1,28.4126439713382,observed
y_1,25.949536649958,observed
y_1,38.4673919222546,observed
y_1,38.4957632996685,observed
y_1,22.4930496569683,observed
y_1,53.6958731633535,observed
y_1,50.5003412522213,observed
y_1,18.7524095219707,observed
y_1,15.0776094207187,observed
y_1,78.4877207031087,observed
y_1,12.4157512458698,observed
y_1,57.7111122393751,observed
y_1,23.8964623911698,observed
y_1,14.6056798331088,observed
y_1,76.2230760164742,observed
y_1,32.0601052743216,observed
y_1,32.3483871996219,observed
y_1,30.3404847034895,observed
y_1,36.4811559940471,observed
y_1,53.3818046310937,observed
y_1,34.7178407137237,observed
y_1,15.7244492987533,observed
y_1,28.7009351774479,observed
y_1,84.9762636357183,observed
y_1,20.5093253710702,observed
y_1,72.56754389181,observed
y_1,22.1860326539833,observed
y_1,11.32080918811,observed
y_1,53.7456972813079,observed
y_1,14.0994684584258,observed
y_1,41.3574103220532,observed
y_1,20.438388465094,observed
y_1,57.3951138088482,observed
y_1,29.1576706416718,observed
y_1,39.3614566280567,observed
y_1,21.15355307593,observed
y_1,39.8531344097491,observed
y_1,31.5348171879472,observed
y_1,21.848593453503,observed
y_1,44.4529229459885,observed
y_1,26.7782211808042,observed
y_1,41.5488729629608,observed
y_1,33.0861732165882,observed
y_1,25.4000029835711,observed
y_1,24.0712127700225,observed
y_1,64.4143350937202,observed
y_1,36.1835134601471,observed
y_1,33.4648682786081,observed
y_1,26.6482865492548,observed
y_1,42.3282848188763,observed
y_1,51.4654569535386,observed
y_1,21.7293666126848,observed
y_1,41.128175038256,observed
y_1,25.0566447217152,observed
y_1,39.1730378267098,observed
y_1,17.09721152397,observed
y_1,78.4754533223302,observed
y_1,32.7374129479473,observed
y_1,33.4712810863737,observed
y_1,13.8988522093487,observed
y_1,73.1730838307939,observed
y_1,61.1672236878862,observed
y_1,37.9957584462975,observed
y_1,12.6580948627931,observed
y_1,66.087297216896,observed
y_1,15.412781623352,observed
y_1,46.726554824081,observed
y_1,20.9646349434867,observed
y_1,41.351913466178,observed
y_1,43.74861014795,observed
y_1,23.6321844291476,observed
y_1,25.8217268447961,observed
y_1,59.6761399891212,observed
y_1,94.7627742451281,observed
y_1,20.9278382703422,observed
y_1,15.0965386897062,observed
y_1,25.4238307418154,observed
y_1,38.1325369930876,observed
y_1,31.2160088270523,observed
y_1,25.3857033412926,observed
y_1,21.9505416517506,observed
y_1,57.31913784274,observed
y_1,17.928880153841,observed
y_1,66.165603339399,observed
y_1,37.6529468566179,observed
y_1,14.4102094429311,observed
y_1,28.0516405260996,observed
y_1,80.325273336357,observed
y_1,34.6634199406953,observed
y_1,26.77860391398,observed
y_1,27.3004103673509,observed
y_1,32.8661833628962,observed
y_1,58.4840044245905,observed
y_1,21.8613276244876,observed
y_1,15.8042214957327,observed
y_1,57.1710565074929,observed
y_1,34.3112197749633,observed
y_1,23.2362601182315,observed
y_1,29.0254717253159,observed
y_1,72.2665561349425,observed
y_1,38.4974190657382,observed
y_1,43.5087518079196,observed
y_1,10.1520544349871,observed
y_1,35.029272812045,observed
y_1,21.9599460786761,observed
y_1,70.892180704824,observed
y_1,58.1513203805376,observed
y_1,19.9091342552916,observed
y_1,38.4273323319517,observed
y_1,33.0231501552751,observed
y_1,38.236655263454,observed
y_1,44.6349735841737,observed
y_1,58.1367397789993,observed
y_1,48.2638557568574,observed
y_1,12.4242412635611,observed
y_1,15.4456417768883,observed
y_1,37.3133823513682,observed
y_1,24.2388182897006,observed
y_1,19.2077807665301,observed
y_1,66.5403974204818,observed
y_1,47.0269225072205,observed
y_1,50.1001139476772,observed
y_1,31.1652611937997,observed
y_1,17.6524879231499,observed
y_1,53.3748885695494,observed
y_1,36.3087972182042,observed
y_1,18.2222425981516,observed
y_1,22.7975326003146,observed
y_1,19.9370464970866,observed
y_1,57.9354173348563,observed
y_1,31.8814735543371,observed
y_1,22.964079414802,observed
y_1,39.9072456008558,observed
y_1,51.517911310421,observed
y_1,27.9884745414746,observed
y_1,31.8422700706349,observed
y_1,60.7559917015204,observed
y_1,36.4820470754014,observed
y_1,15.0588130243185,observed
y_1,35.0791813487714,observed
y_1,30.7454884219533,observed
y_1,33.1411049025555,observed
y_1,37.8947130837548,observed
y_1,21.5886754331588,observed
y_1,50.6002159465163,observed
y_1,47.0928236080626,observed
y_1,38.2346971274609,observed
y_1,22.993765287255,observed
y_1,18.3428666598135,observed
y_1,51.8771280573083,observed
y_1,33.7681664586241,observed
y_1,52.5571337912282,observed
y_1,20.720433304879,observed
y_1,60.3030165929131,observed
y_1,39.8793530261363,observed
y_1,25.1997856273516,observed
y_1,27.2159046769027,observed
y_1,28.2977839006584,observed
y_1,30.2169764407624,observed
y_1,27.4228074144318,observed
y_1,34.6204085029032,observed
y_1,8.72148927880755,observed
y_1,68.1827081375088,observed
y_1,36.2019257346312,observed
y_1,20.3000614935469,observed
y_1,35.0230359545236,observed
y_1,29.1756985862301,observed
y_1,43.424121948833,observed
